rank,company,revenue ($ millions),profit ($ millions)
1,Walmart,559151,13510
2,Amazon,386064,21331
3,Apple,274515,57411
4,CVS Health,268706,7179
5,UnitedHealth Group,257141,15403
6,Berkshire Hathaway,245510,42521
7,McKesson,231051,900
8,AmerisourceBergen,189894,-3409
9,Alphabet,182527,40269
10,Exxon Mobil,181502,-22440
11,AT&T,171760,-5176
12,Costco Wholesale,166761,4002
13,Cigna,160401,8458
14,Cardinal Health,152922,-3696
15,Microsoft,143015,44281
16,Walgreens Boots Alliance,139537,456
17,Kroger,132498,2585
18,Home Depot,132110,12866
19,JPMorgan Chase,129503,29131
20,Verizon Communications,128292,17801
21,Ford Motor,127144,-1279
22,General Motors,122485,6427
23,Elevance Health,121867,4572
24,Centene,111115,1808
25,Fannie Mae,106437,11805
26,Comcast,103564,10534
27,Chevron,94692,-5543
28,Dell Technologies,94224,3250
29,Bank of America,93753,17894
30,Target,93561,4368
31,Lowe's,89597,5835
32,Marathon Petroleum,88952,-9826
33,Citigroup,88839,11047
34,Meta Platforms,85965,29146
35,UPS,84628,1343
36,Johnson & Johnson,82584,14714
37,Wells Fargo,80303,3301
38,General Electric,79619,5704
39,State Farm Insurance,78898,3739
40,Intel,77867,20899
41,Humana,77155,3367
42,IBM,73620,5590
43,Procter & Gamble,70950,13027
44,PepsiCo,70372,7120
45,FedEx,69217,1286
46,MetLife,67842,5407
47,Freddie Mac,66228,7326
48,Phillips 66,65494,-3975
49,Lockheed Martin,65398,6833
50,Walt Disney,65388,-2864
51,Archer Daniels Midland,64355,1772
52,Albertsons,62455,466
53,Valero Energy,60115,-1421
54,Boeing,58158,-11873
55,Prudential Financial,57033,-374
56,HP,56639,2844
57,Raytheon Technologies,56587,-3519
58,StoneX Group,54140,170
59,Goldman Sachs Group,53498,9459
60,Sysco,52893,216
61,Morgan Stanley,52047,10996
62,HCA Healthcare,51533,3754
63,Cisco Systems,49301,11214
64,Charter Communications,48097,3222
65,Merck,47994,7067
66,Best Buy,47262,1798
67,New York Life Insurance,46712,-822
68,AbbVie,45804,4616
69,Publix Super Markets,45204,3972
70,Allstate,44791,5576
71,Liberty Mutual Insurance Group,43796,758
72,AIG,43736,-5944
73,Tyson Foods,43185,2061
74,Progressive,42658,5705
75,Bristol-Myers Squibb,42518,-9015
76,Nationwide,41930,-138
77,Pfizer,41908,9616
78,Caterpillar,41748,2998
79,TIAA,41619,558
80,Oracle,39068,10135
81,Energy Transfer,38954,-648
82,Dow,38542,1225
83,American Express,38185,3135
84,General Dynamics,37925,3167
85,Nike,37403,2539
86,Northrop Grumman,36799,3189
87,USAA,36296,3907
88,Deere,35540,2751
89,Abbott Laboratories,34608,4495
90,Northwestern Mutual,33782,425
91,Dollar General,33747,2655
92,Exelon,33039,1963
93,Coca-Cola,33014,7747
94,Honeywell International,32637,4779
95,Thermo Fisher Scientific,32218,6375
96,3M,32184,5384
97,TJX,32137,91
98,Travelers,31981,2697
99,Capital One Financial,31643,2714
100,Tesla,31536,721
101,Philip Morris International,28694,8056
102,Arrow Electronics,28673,584
103,CHS,28406,422
104,Jabil,27266,54
105,Enterprise Products Partners,27200,3776
106,Hewlett Packard Enterprise,26982,-322
107,United Natural Foods,26743,-274
108,Mondelez International,26581,3555
109,Paramount Global,26186,2422
110,Kraft Heinz,26185,356
111,Dollar Tree,25509,1342
112,Amgen,25424,7264
113,U.S. Bancorp,25241,4959
114,Performance Food Group,25086,-114
115,Netflix,24996,2761
116,Gilead Sciences,24689,123
117,TD Synnex,24676,529
118,Eli Lilly,24540,6194
119,Truist Financial,24427,4482
120,PNC Financial Services Group,24039,7517
121,Broadcom,23888,2960
122,CBRE Group,23826,752
123,Massachusetts Mutual Life Insurance,23663,-101
124,Qualcomm,23531,5198
125,Starbucks,23518,928
126,Duke Energy,23453,1377
127,Plains GP Holdings,23290,-568
128,US Foods Holding,22885,-226
129,Lennar,22489,2465
130,Danaher,22284,3646
131,Aflac,22147,4778
132,Rite Aid,21928,-452
133,Visa,21846,10866
134,PayPal Holdings,21454,4202
135,Micron Technology,21435,2687
136,CarMax,21424,888
137,Salesforce,21252,4072
138,Altria Group,20841,4467
139,Lumen Technologies,20712,-1232
140,Baker Hughes,20705,-9940
